Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied/Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Tenure in weeks,rating_missing,yearly_purchase_rate,consistency_score,consistent,clv_score,clv_tier,dependency_score,loyalty_score,loyalty_tier,customer_segment,satisfaction_tier
1,55,Male,Blouse,Clothing,53,Kentucky,L,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,28.0,0,26,0.25401228452546065,0,0.2941989052902715,Low,0.7459877154745393,0.18571428571428567,Low,Casual: Bargain Hunter,Neutral
2,19,Male,Sweater,Clothing,64,Maine,L,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,4.0,0,26,0.13156330493362395,0,0.23061472161680208,Low,0.868436695066376,0.014285714285714284,Low,Casual: Bargain Hunter,Neutral
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,23.0,0,52,0.4720626114523479,1,0.5185178076084803,High,0.5279373885476522,0.3142857142857142,Low,Loyal: Promo Dependent,Neutral
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,49.0,0,52,0.7373687339013275,1,0.783887705567664,High,0.2626312660986725,0.6857142857142856,High,Loyal: Promo Dependent,Neutral
5,45,Male,Blouse,Clothing,49,Oregon,M,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,1612.0,0,1,0.3061224489795918,0,0.3355229591836735,Mid,0.6938775510204083,0.4285714285714285,Mid,Casual: Bargain Hunter,Dissatisfied
6,46,Male,Sneakers,Footwear,20,Wyoming,M,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,14.0,0,52,0.38022587675847036,1,0.27942341985337826,Low,0.6197741232415297,0.18571428571428567,Low,Loyal: Promo Dependent,Dissatisfied
7,63,Male,Shirt,Clothing,85,Montana,M,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,637.0,0,4,0.5043590251634634,1,0.6051559094511592,High,0.4956409748365366,0.6857142857142856,High,Loyal: Promo Dependent,Neutral
8,27,Male,Shorts,Clothing,34,Louisiana,L,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,19.0,0,52,0.43124628492173567,1,0.36398974638399045,Mid,0.5687537150782643,0.2571428571428571,Low,Loyal: Promo Dependent,Neutral
9,26,Male,Coat,Outerwear,97,West Virginia,L,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,416.0,0,1,0.07142857142857142,0,0.2977678571428572,Low,0.9285714285714286,0.09999999999999999,Low,Casual: Bargain Hunter,Dissatisfied
10,57,Male,Handbag,Accessories,31,Missouri,M,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,52.0,0,4,0.04517535169407569,0,0.0690589706756489,Low,0.9548246483059243,0.04285714285714285,Low,Casual: Bargain Hunter,Highly Satisfied
